numStars,NumAuthors,NumBlobs,LatestCommitDate,projectID,EarlistCommitDate,rootFork,communitySize,NumCommits,NumFiles
67,538,406151,1600265956,Flagbit_demoshop,1377164358,spryker_demoshop,212,114755,111669
13,131,17863,1598559953,GarionTheFirst_javarosa,1167609600,opendatakit_javarosa,73,10654,7532
28,116,49002,1520378381,Gastd_oh-distro,1339797285,openhumanoids_oh-distro,31,18914,28512
23,557,24986,1596191624,HGustavs_LenaSYS,1395084754,,12,21223,2167
,78,63392,1590290494,InterTurstCo_ActiveFrame5,1367834749,,1,6840,10478
,116,30964,1598425981,JohannD_unimgr,1440444228,,26,8054,30782
,70,138,1594169500,MIPS_external-scrypt,1370993814,,50,8227,75
,227,2090,1596442846,MoKee_android_device_sony_nile-common,1403660719,,10,7101,500
,58,30334,1599687810,NCAR_MET,1251911165,,3,12604,10769
14,75,14939,1599685716,NCAR_METplus,1472138371,,12,5416,6290
1,65,72840,1396466114,NCIP_cagrid,1127154389,,1,33066,111689
,110,7888,1519249965,NCIP_wustl-common-package,1143614570,,3,6126,61479
,58,6150,1534974665,OPENDAP_xml,745954111,,8,113029,8562
,67,28905,1565852132,OpenTOSCA_ode,1140210646,apache_attic-ode,69,11008,13766
,427,15830,1600051481,Pike_android-l10n,1320334682,mozilla-l10n_android-l10n,7,10134,2358
,74,10856,1547795960,Trench-Wars_twcore,1079618072,,1,9231,4294
,298,8783,1599278141,Undev_MediaWiki-WikiEditor,1284519755,,20,18933,2803
14,66,14611,1598623324,ajspeck_reportlab,948411184,Distrotech_reportlab,23,5413,5896
57,84,16935,1555406554,alex_otter,1349473054,rackerlabs_otter,31,11484,2218
15,229,4889,1599319830,alex_spelling,1242581783,sphinx-contrib_spelling,75,12198,1495
,62,30454,1598623530,alxbrd_henshin,1257437774,,5,6397,42629
22,61,11453,1599542445,amithk_indexing,1374611757,couchbase_indexing,30,5169,1232
,691,43951,1573792215,andela_ET-cfh,1380735908,,156,17332,20119
,75,49482,1269193256,angel2230_OGRECave,1025638836,,4,37351,209736
1,1542,56031,1530224546,ashyx_IronKernel,1000710000,Tkkg1994_IronKernel,14,7687,44190
,92,7367,1575894506,aspotashev_converted-scripty-v2,925927760,,1,6169,510
,78,15871,1598981834,baris_pisi,1117822251,,28,7575,16283
,149,16780,1598845542,batareich_tmp4,1355362387,,82,5223,10444
1944,56,35617,1470107196,batrick_nmap,887166498,nmap_nmap,3,11288,2923
5,52,13324,1599255817,bheck_coastal-hazards,1354041252,USGS-CIDA_coastal-hazards,25,7565,2505
,136,59332,1598644763,bitbucket.org_Gchamma_integrated-genome-browser,1106871886,,81,21300,16150
,271,34392,1539028175,bitbucket.org_amitgandhi23_moneycenter.web,1383854235,,1,11450,9775
,82,104807,1470269256,bitbucket.org_seanfarley_nwchem,764923478,,1,24424,24663
23,241,69791,1432055776,blm_livejournal,992126397,apparentlymart_livejournal,19,28896,14164
,101,37247,1474566786,bpierre_ubuntu-ui-toolkit,1337595823,,1,17542,7050
1,100,7293,1596486434,btovar_autopyfactory,1176332502,PanDAWMS_autopyfactory,10,60391,6106
7,133,34938,1590563103,capaez_DevCenter,1445326835,MobileFirst-Platform-Developer-Center_DevCenter,28,11237,26623
,379,41255,1580147591,cms-sw_Stitched,899284683,,2,14826,4563
,220,289,1514984143,collective_Products.MxDateTimeField,1046982506,,2,28840,564
,86,20560,1599711625,communitybridge_easycla,1468435023,,2,7671,14209
4,86,12822,1600094796,d-mo_mist.api,1320674919,mistio_mist.api,7,9840,511
6,99,30517,1539912315,ddganmo_midonet-docs,1411171237,midonet_midonet-docs,16,8540,132539
,143,153823,1594754382,deadw00d_AROS,838571827,,5,83157,48248
29,70,82580,1599264060,deas_alfresco,1292414100,,18,9679,42015
23,82,63641,1598189958,deki_kieker,1219999470,kieker-monitoring_kieker,26,8456,29232
,71,22698,1598931370,delphix_grub2,1091743342,,4,47185,5999
55,103,46734,1597957529,dgsb_tcllib,951414282,tcltk_tcllib,40,25550,8354
,139,19376,1552613479,dpgraham_appium-monorepo,1357771790,,1,5809,4261
52,105,190201,1598491755,dt888_starlink,629134289,Starlink_starlink,24,43086,94145
6,508,42892,1557995538,dtk_dtk-server,1274388733,,1,13686,9517
,122,21092,1444741962,dzubi_optware,1093949218,,13,14239,3883
,101,260402,1575685855,earl-ducaine_brlcad-mirror,440381431,,4,140604,1296057
,56,41920,1595745621,eaudeweb_naaya,1122973693,,35,30980,96217
,52,30382,1313156660,eclipse_tptp.test-results,1108047243,,1,8679,21136
,470,121873,1526395963,edquist_osg-twiki-backup,929254774,,1,193297,26471
41,62,42614,1598887846,esbmc_esbmc,1300374093,,15,19314,34924
,101,38040,1337049410,esil_compiler,993663584,,12,6066,25570
,159,12307,1350391246,etrunko_ecore,972038901,,2,5275,835
139,76,52212,1597283596,exult_exult,946728060,,40,33453,35110
,217,165004,1326902305,ezc_mediawiki,1050361840,,2,40631,6553
1,70,12730,1592271597,fiji_TrakEM2,1181070889,,36,5559,3207
,116,23213,1459074816,geovas01_man4,1152674524,,3,173132,15219
